,name,JASPAR,cluster
0,Runx1,JASPAR_vertebrates_CORE_MA0002.3_n850,114
1,Tfap2a,JASPAR_vertebrates_CORE_MA0003.5_n646,92
2,Arnt,JASPAR_vertebrates_CORE_MA0004.1_n1,21
3,Ahr::arnt,JASPAR_vertebrates_CORE_MA0006.2_n755,74
4,Ar,JASPAR_vertebrates_CORE_MA0007.4_n758,109
5,Tbxt,JASPAR_vertebrates_CORE_MA0009.2_n46,119
6,Pax5,JASPAR_vertebrates_CORE_MA0014.4_n283,94
7,Nr2f1,JASPAR_vertebrates_CORE_MA0017.3_n535,54
8,Creb1,JASPAR_vertebrates_CORE_MA0018.5_n240,129
9,Ddit3::cebpa,JASPAR_vertebrates_CORE_MA0019.2_n174,0
10,E2f1,JASPAR_vertebrates_CORE_MA0024.3_n109,100
11,Nfil3,JASPAR_vertebrates_CORE_MA0025.3_n511,25
12,En1,JASPAR_vertebrates_CORE_MA0027.3_n293,86
13,Elk1,JASPAR_vertebrates_CORE_MA0028.3_n277,83
14,Mecom,JASPAR_vertebrates_CORE_MA0029.2_n812,35
15,Foxf2,JASPAR_vertebrates_CORE_MA0030.2_n364,5
16,Foxd1,JASPAR_vertebrates_CORE_MA0031.2_n360,5
17,Foxc1,JASPAR_vertebrates_CORE_MA0032.2_n96,134
18,Foxl1,JASPAR_vertebrates_CORE_MA0033.2_n31,5
19,Gata1,JASPAR_vertebrates_CORE_MA0035.5_n377,96
20,Gata2,JASPAR_vertebrates_CORE_MA0036.4_n379,99
21,Gata3,JASPAR_vertebrates_CORE_MA0037.5_n789,99
22,Gfi1,JASPAR_vertebrates_CORE_MA0038.3_n388,0
23,Klf4,JASPAR_vertebrates_CORE_MA0039.5_n458,4
24,Foxq1,JASPAR_vertebrates_CORE_MA0040.2_n175,41
25,Foxd3,JASPAR_vertebrates_CORE_MA0041.3_n362,41
26,Foxi1,JASPAR_vertebrates_CORE_MA0042.2_n30,5
27,Hlf,JASPAR_vertebrates_CORE_MA0043.4_n406,25
28,Hnf1a,JASPAR_vertebrates_CORE_MA0046.3_n408,62
29,Foxa2,JASPAR_vertebrates_CORE_MA0047.4_n357,5
30,Nhlh1,JASPAR_vertebrates_CORE_MA0048.3_n303,7
31,Irf1,JASPAR_vertebrates_CORE_MA0050.4_n803,84
32,Irf2,JASPAR_vertebrates_CORE_MA0051.2_n441,130
33,Mef2a,JASPAR_vertebrates_CORE_MA0052.5_n479,139
34,Mzf1,JASPAR_vertebrates_CORE_MA0056.3_n502,16
35,Max,JASPAR_vertebrates_CORE_MA0058.4_n301,21
36,Max::myc,JASPAR_vertebrates_CORE_MA0059.2_n476,21
37,Nfya,JASPAR_vertebrates_CORE_MA0060.4_n515,98
38,Gabpa,JASPAR_vertebrates_CORE_MA0062.4_n376,31
39,Nkx2-5,JASPAR_vertebrates_CORE_MA0063.3_n522,69
40,Pparg::rxra,JASPAR_vertebrates_CORE_MA0065.3_n839,65
41,Pparg,JASPAR_vertebrates_CORE_MA0066.2_n578,58
42,Pax2,JASPAR_vertebrates_CORE_MA0067.3_n554,93
43,Pax4,JASPAR_vertebrates_CORE_MA0068.2_n43,115
44,Pax6,JASPAR_vertebrates_CORE_MA0069.1_n2,93
45,Pbx1,JASPAR_vertebrates_CORE_MA0070.2_n556,146
46,Rora,JASPAR_vertebrates_CORE_MA0071.1_n3,54
47,Rora,JASPAR_vertebrates_CORE_MA0072.2_n596,76
48,Rreb1,JASPAR_vertebrates_CORE_MA0073.2_n599,32
49,Rxra::vdr,JASPAR_vertebrates_CORE_MA0074.1_n4,58
